Date,Title,URL,Rating,Stock,Price,Category,Availability,UPC
2024-05-27,Princess Between Worlds,https://books.toscrape.com/princess-between-worlds-wide-awake-princess-5_919/index.html,5,In stock,13.34,N/A,0,N/A
2024-05-27,"Pop Gun War, Volume 1",https://books.toscrape.com/pop-gun-war-volume-1-gift_918/index.html,1,In stock,18.97,N/A,0,N/A
2024-05-27,Political Suicide,https://books.toscrape.com/political-suicide-missteps-peccadilloes-bad-calls-backroom-hijinx-sordid-pasts-rotten-breaks-and-just-plain-dumb-mistakes-in-the-annals-of-american-politics_917/index.html,2,In stock,36.28,N/A,0,N/A
2024-05-27,Patience,https://books.toscrape.com/patience_916/index.html,3,In stock,10.16,N/A,0,N/A
2024-05-27,"Outcast, Vol. 1",https://books.toscrape.com/outcast-vol-1-a-darkness-surrounds-him-outcast-1_915/index.html,4,In stock,15.44,N/A,0,N/A
2024-05-27,orange,https://books.toscrape.com/orange-the-complete-collection-1-orange-the-complete-collection-1_914/index.html,1,In stock,48.41,N/A,0,N/A
2024-05-27,Online Marketing for Busy Authors,https://books.toscrape.com/online-marketing-for-busy-authors-a-step-by-step-guide_913/index.html,1,In stock,46.35,N/A,0,N/A
2024-05-27,On a Midnight Clear,https://books.toscrape.com/on-a-midnight-clear_912/index.html,3,In stock,14.07,N/A,0,N/A
2024-05-27,Obsidian,https://books.toscrape.com/obsidian-lux-1_911/index.html,2,In stock,14.86,N/A,0,N/A
2024-05-27,My Paris Kitchen,https://books.toscrape.com/my-paris-kitchen-recipes-and-stories_910/index.html,2,In stock,33.37,N/A,0,N/A
2024-05-27,Masks and Shadows,https://books.toscrape.com/masks-and-shadows_909/index.html,2,In stock,56.40,N/A,0,N/A
2024-05-27,Mama Tried,https://books.toscrape.com/mama-tried-traditional-italian-cooking-for-the-screwed-crude-vegan-and-tattooed_908/index.html,4,In stock,14.02,N/A,0,N/A
2024-05-27,"Lumberjanes, Vol. 2",https://books.toscrape.com/lumberjanes-vol-2-friendship-to-the-max-lumberjanes-5-8_907/index.html,2,In stock,46.91,N/A,0,N/A
2024-05-27,"Lumberjanes, Vol. 1",https://books.toscrape.com/lumberjanes-vol-1-beware-the-kitten-holy-lumberjanes-1-4_906/index.html,3,In stock,45.61,N/A,0,N/A
2024-05-27,Lumberjanes Vol. 3,https://books.toscrape.com/lumberjanes-vol-3-a-terrible-plan-lumberjanes-9-12_905/index.html,2,In stock,19.92,N/A,0,N/A
2024-05-27,Layered,https://books.toscrape.com/layered-baking-building-and-styling-spectacular-cakes_904/index.html,1,In stock,40.11,N/A,0,N/A
2024-05-27,Judo,https://books.toscrape.com/judo-seven-steps-to-black-belt-an-introductory-guide-for-beginners_903/index.html,2,In stock,53.90,N/A,0,N/A
2024-05-27,Join,https://books.toscrape.com/join_902/index.html,5,In stock,35.67,N/A,0,N/A
2024-05-27,In the Country We Love,https://books.toscrape.com/in-the-country-we-love-my-family-divided_901/index.html,4,In stock,22.00,N/A,0,N/A
2024-05-27,Immunity,https://books.toscrape.com/immunity-how-elie-metchnikoff-changed-the-course-of-modern-medicine_900/index.html,5,In stock,57.36,N/A,0,N/A
2024-05-27,"I Hate Fairyland, Vol. 1",https://books.toscrape.com/i-hate-fairyland-vol-1-madly-ever-after-i-hate-fairyland-compilations-1-5_899/index.html,2,In stock,29.17,N/A,0,N/A
2024-05-27,I am a Hero Omnibus Volume 1,https://books.toscrape.com/i-am-a-hero-omnibus-volume-1_898/index.html,3,In stock,54.63,N/A,0,N/A
2024-05-27,How to Be Miserable,https://books.toscrape.com/how-to-be-miserable-40-strategies-you-already-use_897/index.html,1,In stock,46.03,N/A,0,N/A
2024-05-27,Her Backup Boyfriend,https://books.toscrape.com/her-backup-boyfriend-the-sorensen-family-1_896/index.html,1,In stock,33.97,N/A,0,N/A
2024-05-27,"Giant Days, Vol. 2",https://books.toscrape.com/giant-days-vol-2-giant-days-5-8_895/index.html,2,In stock,22.11,N/A,0,N/A
2024-05-27,Forever and Forever,https://books.toscrape.com/forever-and-forever-the-courtship-of-henry-longfellow-and-fanny-appleton_894/index.html,3,In stock,29.69,N/A,0,N/A
2024-05-27,First and First,https://books.toscrape.com/first-and-first-five-boroughs-3_893/index.html,4,In stock,15.97,N/A,0,N/A
2024-05-27,Fifty Shades Darker,https://books.toscrape.com/fifty-shades-darker-fifty-shades-2_892/index.html,1,In stock,21.96,N/A,0,N/A
2024-05-27,Everydata,https://books.toscrape.com/everydata-the-misinformation-hidden-in-the-little-data-you-consume-every-day_891/index.html,2,In stock,54.35,N/A,0,N/A
2024-05-27,Don't Be a Jerk,https://books.toscrape.com/dont-be-a-jerk-and-other-practical-advice-from-dogen-japans-greatest-zen-master_890/index.html,2,In stock,37.97,N/A,0,N/A
2024-05-27,Danganronpa Volume 1,https://books.toscrape.com/danganronpa-volume-1_889/index.html,4,In stock,51.99,N/A,0,N/A
2024-05-27,Crown of Midnight,https://books.toscrape.com/crown-of-midnight-throne-of-glass-2_888/index.html,3,In stock,43.29,N/A,0,N/A
2024-05-27,"Codename Baboushka, Volume 1",https://books.toscrape.com/codename-baboushka-volume-1-the-conclave-of-death_887/index.html,4,In stock,36.72,N/A,0,N/A
2024-05-27,Camp Midnight,https://books.toscrape.com/camp-midnight_886/index.html,4,In stock,17.08,N/A,0,N/A
2024-05-27,Call the Nurse,https://books.toscrape.com/call-the-nurse-true-stories-of-a-country-nurse-on-a-scottish-isle_885/index.html,5,In stock,29.14,N/A,0,N/A
2024-05-27,Burning,https://books.toscrape.com/burning_884/index.html,3,In stock,28.81,N/A,0,N/A
2024-05-27,Bossypants,https://books.toscrape.com/bossypants_883/index.html,2,In stock,49.46,N/A,0,N/A
2024-05-27,"Bitch Planet, Vol. 1",https://books.toscrape.com/bitch-planet-vol-1-extraordinary-machine-bitch-planet-collected-editions_882/index.html,2,In stock,37.92,N/A,0,N/A
2024-05-27,Avatar,https://books.toscrape.com/avatar-the-last-airbender-smoke-and-shadow-part-3-smoke-and-shadow-3_881/index.html,2,In stock,28.09,N/A,0,N/A
2024-05-27,Algorithms to Live By,https://books.toscrape.com/algorithms-to-live-by-the-computer-science-of-human-decisions_880/index.html,1,In stock,30.81,N/A,0,N/A
2024-05-27,A World of Flavor,https://books.toscrape.com/a-world-of-flavor-your-gluten-free-passport_879/index.html,1,In stock,42.95,N/A,0,N/A
2024-05-27,"A Piece of Sky, a Grain of Rice",https://books.toscrape.com/a-piece-of-sky-a-grain-of-rice-a-memoir-in-four-meditations_878/index.html,5,In stock,56.76,N/A,0,N/A
2024-05-27,A Murder in Time,https://books.toscrape.com/a-murder-in-time_877/index.html,1,In stock,16.64,N/A,0,N/A
2024-05-27,A Flight of Arrows,https://books.toscrape.com/a-flight-of-arrows-the-pathfinders-2_876/index.html,5,In stock,55.53,N/A,0,N/A
2024-05-27,A Fierce and Subtle Poison,https://books.toscrape.com/a-fierce-and-subtle-poison_875/index.html,4,In stock,28.13,N/A,0,N/A
2024-05-27,A Court of Thorns and Roses,https://books.toscrape.com/a-court-of-thorns-and-roses-a-court-of-thorns-and-roses-1_874/index.html,1,In stock,52.37,N/A,0,N/A
2024-05-27,(Un)Qualified,https://books.toscrape.com/unqualified-how-god-uses-broken-people-to-do-big-things_873/index.html,5,In stock,54.00,N/A,0,N/A
2024-05-27,You Are What You Love,https://books.toscrape.com/you-are-what-you-love-the-spiritual-power-of-habit_872/index.html,4,In stock,21.87,N/A,0,N/A
2024-05-27,William Shakespeare's Star Wars,https://books.toscrape.com/william-shakespeares-star-wars-verily-a-new-hope-william-shakespeares-star-wars-4_871/index.html,4,In stock,43.30,N/A,0,N/A
2024-05-27,Tuesday Nights in 1980,https://books.toscrape.com/tuesday-nights-in-1980_870/index.html,2,In stock,21.04,N/A,0,N/A
2024-05-27,Tracing Numbers on a Train,https://books.toscrape.com/tracing-numbers-on-a-train_869/index.html,3,In stock,41.60,N/A,0,N/A
2024-05-27,Throne of Glass,https://books.toscrape.com/throne-of-glass-throne-of-glass-1_868/index.html,3,In stock,35.07,N/A,0,N/A
2024-05-27,Thomas Jefferson and the Tripoli Pirates,https://books.toscrape.com/thomas-jefferson-and-the-tripoli-pirates-the-forgotten-war-that-changed-american-history_867/index.html,1,In stock,59.64,N/A,0,N/A
2024-05-27,Thirteen Reasons Why,https://books.toscrape.com/thirteen-reasons-why_866/index.html,1,In stock,52.72,N/A,0,N/A
2024-05-27,The White Cat and the Monk,https://books.toscrape.com/the-white-cat-and-the-monk-a-retelling-of-the-poem-pangur-ban_865/index.html,4,In stock,58.08,N/A,0,N/A
2024-05-27,The Wedding Dress,https://books.toscrape.com/the-wedding-dress_864/index.html,1,In stock,24.12,N/A,0,N/A
2024-05-27,The Vacationers,https://books.toscrape.com/the-vacationers_863/index.html,4,In stock,42.15,N/A,0,N/A
2024-05-27,The Third Wave,https://books.toscrape.com/the-third-wave-an-entrepreneurs-vision-of-the-future_862/index.html,5,In stock,12.61,N/A,0,N/A
2024-05-27,The Stranger,https://books.toscrape.com/the-stranger_861/index.html,4,In stock,17.44,N/A,0,N/A
2024-05-27,The Shadow Hero,https://books.toscrape.com/the-shadow-hero-the-shadow-hero_860/index.html,1,In stock,33.14,N/A,0,N/A
2024-05-27,The Secret,https://books.toscrape.com/the-secret-the-secret-1_859/index.html,4,In stock,27.37,N/A,0,N/A
2024-05-27,The Regional Office Is Under Attack!,https://books.toscrape.com/the-regional-office-is-under-attack_858/index.html,5,In stock,51.36,N/A,0,N/A
2024-05-27,The Psychopath Test,https://books.toscrape.com/the-psychopath-test-a-journey-through-the-madness-industry_857/index.html,2,In stock,36.00,N/A,0,N/A
2024-05-27,The Project,https://books.toscrape.com/the-project_856/index.html,1,In stock,10.65,N/A,0,N/A
2024-05-27,The Power of Now,https://books.toscrape.com/the-power-of-now-a-guide-to-spiritual-enlightenment_855/index.html,2,In stock,43.54,N/A,0,N/A
2024-05-27,The Omnivore's Dilemma,https://books.toscrape.com/the-omnivores-dilemma-a-natural-history-of-four-meals_854/index.html,2,In stock,38.21,N/A,0,N/A
2024-05-27,The Nerdy Nummies Cookbook,https://books.toscrape.com/the-nerdy-nummies-cookbook-sweet-treats-for-the-geek-in-all-of-us_853/index.html,5,In stock,37.34,N/A,0,N/A
2024-05-27,The Murder of Roger Ackroyd,https://books.toscrape.com/the-murder-of-roger-ackroyd-hercule-poirot-4_852/index.html,4,In stock,44.10,N/A,0,N/A
2024-05-27,The Mistake,https://books.toscrape.com/the-mistake-off-campus-2_851/index.html,3,In stock,43.29,N/A,0,N/A
2024-05-27,The Matchmaker's Playbook,https://books.toscrape.com/the-matchmakers-playbook-wingmen-inc-1_850/index.html,1,In stock,55.85,N/A,0,N/A
2024-05-27,The Love and Lemons Cookbook,https://books.toscrape.com/the-love-and-lemons-cookbook-an-apple-to-zucchini-celebration-of-impromptu-cooking_849/index.html,2,In stock,37.60,N/A,0,N/A
2024-05-27,The Long Shadow of Small Ghosts,https://books.toscrape.com/the-long-shadow-of-small-ghosts-murder-and-memory-in-an-american-city_848/index.html,1,In stock,10.97,N/A,0,N/A
2024-05-27,The Kite Runner,https://books.toscrape.com/the-kite-runner_847/index.html,4,In stock,41.82,N/A,0,N/A
2024-05-27,The House by the Lake,https://books.toscrape.com/the-house-by-the-lake_846/index.html,1,In stock,36.95,N/A,0,N/A
2024-05-27,The Glittering Court,https://books.toscrape.com/the-glittering-court-the-glittering-court-1_845/index.html,1,In stock,44.28,N/A,0,N/A
2024-05-27,The Girl on the Train,https://books.toscrape.com/the-girl-on-the-train_844/index.html,2,In stock,55.02,N/A,0,N/A
2024-05-27,The Genius of Birds,https://books.toscrape.com/the-genius-of-birds_843/index.html,1,In stock,17.24,N/A,0,N/A
2024-05-27,The Emerald Mystery,https://books.toscrape.com/the-emerald-mystery_842/index.html,2,In stock,23.15,N/A,0,N/A
2024-05-27,The Cookies & Cups Cookbook,https://books.toscrape.com/the-cookies-cups-cookbook-125-sweet-savory-recipes-reminding-you-to-always-eat-dessert-first_841/index.html,1,In stock,41.25,N/A,0,N/A
2024-05-27,The Bridge to Consciousness,https://books.toscrape.com/the-bridge-to-consciousness-im-writing-the-bridge-between-science-and-our-old-and-new-beliefs_840/index.html,3,In stock,32.00,N/A,0,N/A
2024-05-27,The Artist's Way,https://books.toscrape.com/the-artists-way-a-spiritual-path-to-higher-creativity_839/index.html,5,In stock,38.49,N/A,0,N/A
2024-05-27,The Art of War,https://books.toscrape.com/the-art-of-war_838/index.html,5,In stock,33.34,N/A,0,N/A
2024-05-27,The Argonauts,https://books.toscrape.com/the-argonauts_837/index.html,2,In stock,10.93,N/A,0,N/A
2024-05-27,The 10% Entrepreneur,https://books.toscrape.com/the-10-entrepreneur-live-your-startup-dream-without-quitting-your-day-job_836/index.html,3,In stock,27.55,N/A,0,N/A
2024-05-27,Suddenly in Love,https://books.toscrape.com/suddenly-in-love-lake-haven-1_835/index.html,2,In stock,55.99,N/A,0,N/A
2024-05-27,Something More Than This,https://books.toscrape.com/something-more-than-this_834/index.html,4,In stock,16.24,N/A,0,N/A
2024-05-27,Soft Apocalypse,https://books.toscrape.com/soft-apocalypse_833/index.html,2,In stock,26.12,N/A,0,N/A
2024-05-27,So You've Been Publicly Shamed,https://books.toscrape.com/so-youve-been-publicly-shamed_832/index.html,2,In stock,12.23,N/A,0,N/A
2024-05-27,Shoe Dog,https://books.toscrape.com/shoe-dog-a-memoir-by-the-creator-of-nike_831/index.html,2,In stock,23.99,N/A,0,N/A
2024-05-27,"Shobu Samurai, Project Aryoku",https://books.toscrape.com/shobu-samurai-project-aryoku-3_830/index.html,3,In stock,29.06,N/A,0,N/A
2024-05-27,Secrets and Lace,https://books.toscrape.com/secrets-and-lace-fatal-hearts-1_829/index.html,1,In stock,20.27,N/A,0,N/A
2024-05-27,Scarlett Epstein Hates It Here,https://books.toscrape.com/scarlett-epstein-hates-it-here_828/index.html,5,In stock,43.55,N/A,0,N/A
2024-05-27,Romero and Juliet,https://books.toscrape.com/romero-and-juliet-a-tragic-tale-of-love-and-zombies_827/index.html,1,In stock,36.94,N/A,0,N/A
2024-05-27,Redeeming Love,https://books.toscrape.com/redeeming-love_826/index.html,5,In stock,20.47,N/A,0,N/A
2024-05-27,Poses for Artists Volume 1 - Dynamic and Sitting Poses,https://books.toscrape.com/poses-for-artists-volume-1-dynamic-and-sitting-poses-an-essential-reference-for-figure-drawing-and-the-human-form_825/index.html,1,In stock,41.06,N/A,0,N/A
2024-05-27,Poems That Make Grown Women Cry,https://books.toscrape.com/poems-that-make-grown-women-cry_824/index.html,4,In stock,14.19,N/A,0,N/A
2024-05-27,"Nightingale, Sing",https://books.toscrape.com/nightingale-sing_823/index.html,1,In stock,38.28,N/A,0,N/A
2024-05-27,Night Sky with Exit Wounds,https://books.toscrape.com/night-sky-with-exit-wounds_822/index.html,1,In stock,41.05,N/A,0,N/A
2024-05-27,Mrs. Houdini,https://books.toscrape.com/mrs-houdini_821/index.html,5,In stock,30.25,N/A,0,N/A
2024-05-27,Modern Romance,https://books.toscrape.com/modern-romance_820/index.html,5,In stock,28.26,N/A,0,N/A
2024-05-27,Miss Peregrineâs Home for Peculiar Children,https://books.toscrape.com/miss-peregrines-home-for-peculiar-children-miss-peregrines-peculiar-children-1_819/index.html,1,In stock,10.76,N/A,0,N/A
2024-05-27,Louisa,https://books.toscrape.com/louisa-the-extraordinary-life-of-mrs-adams_818/index.html,2,In stock,16.85,N/A,0,N/A
2024-05-27,Little Red,https://books.toscrape.com/little-red_817/index.html,3,In stock,13.47,N/A,0,N/A
